ticker,exists,rows,elapsed_s,note
1240.T,no,0,0.98,empty-history
1241.T,no,0,1.13,empty-history
1242.T,no,0,1.01,empty-history
1243.T,no,0,1.04,empty-history
1244.T,no,0,0.98,empty-history
1245.T,no,0,1.19,empty-history
1246.T,no,0,1.05,empty-history
1247.T,no,0,1.17,empty-history
1248.T,no,0,1.00,empty-history
1249.T,no,0,1.13,empty-history
1250.T,no,0,1.33,empty-history
1251.T,no,0,1.66,empty-history
1252.T,no,0,1.01,empty-history
1253.T,no,0,1.00,empty-history
1254.T,no,0,1.00,empty-history
1255.T,no,0,1.01,empty-history
1256.T,no,0,1.00,empty-history
1257.T,no,0,1.36,empty-history
1258.T,no,0,1.01,empty-history
1259.T,no,0,1.01,empty-history
1260.T,no,0,1.31,empty-history
1261.T,no,0,0.99,empty-history
1262.T,no,0,1.00,empty-history
1263.T,no,0,1.02,empty-history
1264.T,no,0,1.04,empty-history
1265.T,no,0,1.28,empty-history
1266.T,no,0,1.30,empty-history
1267.T,no,0,0.98,empty-history
1268.T,no,0,1.02,empty-history
1269.T,no,0,1.00,empty-history
1270.T,no,0,1.00,empty-history
1271.T,no,0,1.01,empty-history
1272.T,no,0,1.35,empty-history
1273.T,no,0,1.36,empty-history
1274.T,no,0,1.15,empty-history
1275.T,no,0,1.31,empty-history
1276.T,no,0,0.98,empty-history
1277.T,no,0,1.00,empty-history
1278.T,no,0,0.98,empty-history
1279.T,no,0,1.30,empty-history
1280.T,no,0,0.98,empty-history
1281.T,no,0,0.99,empty-history
1282.T,no,0,1.00,empty-history
1283.T,no,0,0.98,empty-history
1284.T,no,0,1.00,empty-history
1285.T,no,0,1.31,empty-history
1286.T,no,0,1.18,empty-history
1287.T,no,0,0.98,empty-history
1288.T,no,0,1.11,empty-history
1289.T,no,0,1.13,empty-history
1290.T,no,0,0.99,empty-history
1291.T,no,0,1.05,empty-history
1292.T,no,0,1.23,empty-history
1293.T,no,0,1.35,empty-history
1294.T,no,0,1.13,empty-history
1295.T,no,0,1.04,empty-history
1296.T,no,0,1.00,empty-history
1297.T,no,0,1.47,empty-history
1298.T,no,0,1.18,empty-history
1299.T,no,0,1.90,empty-history
1300.T,no,0,1.02,empty-history
1302.T,no,0,1.01,empty-history
1303.T,no,0,1.37,empty-history
1304.T,no,0,0.99,empty-history
1307.T,no,0,1.28,empty-history
1310.T,no,0,0.12,empty-history
1312.T,no,0,0.11,empty-history
1313.T,no,0,0.11,empty-history
1314.T,no,0,0.99,empty-history
1315.T,no,0,0.99,empty-history
1316.T,no,0,1.08,empty-history
1317.T,no,0,1.04,empty-history
1318.T,no,0,1.13,empty-history
1323.T,no,0,0.11,empty-history
1327.T,no,0,0.11,empty-history
1331.T,no,0,0.11,empty-history
1334.T,no,0,0.11,empty-history
1335.T,no,0,1.18,empty-history
1336.T,no,0,0.98,empty-history
1337.T,no,0,1.87,empty-history
1338.T,no,0,0.99,empty-history
1339.T,no,0,1.21,empty-history
1340.T,no,0,1.41,empty-history
1341.T,no,0,1.22,empty-history
1342.T,no,0,0.99,empty-history
1344.T,no,0,0.11,empty-history
1347.T,no,0,0.99,empty-history
1350.T,no,0,0.98,empty-history
1351.T,no,0,0.11,empty-history
1352.T,no,0,1.02,empty-history
1353.T,no,0,0.99,empty-history
1354.T,no,0,1.00,empty-history
1355.T,no,0,0.98,empty-history
1359.T,no,0,0.99,empty-history
1361.T,no,0,1.27,empty-history
1362.T,no,0,0.99,empty-history
1363.T,no,0,1.00,empty-history
1370.T,no,0,0.98,empty-history
1371.T,no,0,1.04,empty-history
1372.T,no,0,0.98,empty-history
1373.T,no,0,1.50,empty-history
1374.T,no,0,1.11,empty-history
1378.T,no,0,0.10,empty-history
1385.T,no,0,0.11,empty-history
1386.T,no,0,0.11,empty-history
1387.T,no,0,0.13,empty-history
1388.T,no,0,0.11,empty-history
1389.T,no,0,0.11,empty-history
1390.T,no,0,0.11,empty-history
1391.T,no,0,0.11,empty-history
1392.T,no,0,0.11,empty-history
1393.T,no,0,0.12,empty-history
1394.T,no,0,0.11,empty-history
1395.T,no,0,1.34,empty-history
1396.T,no,0,0.99,empty-history
1400.T,no,0,1.00,empty-history
1402.T,no,0,1.14,empty-history
1403.T,no,0,1.00,empty-history
1404.T,no,0,0.98,empty-history
1405.T,no,0,0.98,empty-history
1406.T,no,0,1.00,empty-history
1408.T,no,0,0.12,empty-history
1409.T,no,0,1.00,empty-history
1410.T,no,0,0.98,empty-history
1411.T,no,0,1.00,empty-history
1412.T,no,0,1.42,empty-history
1413.T,no,0,0.98,empty-history
1415.T,no,0,0.98,empty-history
1416.T,no,0,1.01,empty-history
1421.T,no,0,1.30,empty-history
1422.T,no,0,0.99,empty-history
1423.T,no,0,1.02,empty-history
1424.T,no,0,1.20,empty-history
1425.T,no,0,1.07,empty-history
1426.T,no,0,1.14,empty-history
1427.T,no,0,1.00,empty-history
1428.T,no,0,1.00,empty-history
1437.T,no,0,0.11,empty-history
1439.T,no,0,1.49,empty-history
1440.T,no,0,1.10,empty-history
1441.T,no,0,1.09,empty-history
1442.T,no,0,0.98,empty-history
1448.T,no,0,1.28,empty-history
1449.T,no,0,1.00,empty-history
1451.T,no,0,0.99,empty-history
1453.T,no,0,0.99,empty-history
1454.T,no,0,1.01,empty-history
1455.T,no,0,0.99,empty-history
1460.T,no,0,0.12,empty-history
1461.T,no,0,0.99,empty-history
1462.T,no,0,1.00,empty-history
