ticker,cross_month,ma9,ma24,latest_close
2154.T,2026-06,1811.63,1804.24,1885.0
4100.T,2026-06,1465.78,1400.83,1889.0
8008.T,2026-04,1744.53,1731.05,1896.0
6902.T,2026-04,2056.51,2048.62,1900.5
6952.T,2025-12,1151.83,1148.5,1906.5
9052.T,2025-12,2007.69,1992.88,1920.0
2002.T,2026-01,1772.37,1763.73,1923.0
9558.T,2026-02,2163.12,2117.99,1931.0
2163.T,2025-12,1912.91,1884.74,1933.0
7444.T,2026-03,1907.7,1906.75,1945.0
6364.T,2026-01,1899.59,1893.79,1946.0
9087.T,2025-12,1196.37,1192.35,1950.0
2915.T,2026-03,1944.02,1937.9,1955.0
5990.T,2026-02,1919.96,1918.94,1978.0
4046.T,2026-01,1875.5,1807.76,1979.0
5946.T,2026-02,1953.16,1946.24,1992.0
5461.T,2026-06,2159.58,2141.98,1997.0
7477.T,2026-01,1359.53,1322.18,2001.0
2175.T,2026-06,1635.53,1595.67,2021.0
6294.T,2026-03,2098.99,2043.23,2022.0
2871.T,2026-06,1917.24,1903.0,2047.0
4082.T,2025-12,843.55,803.4,2061.0
8200.T,2025-12,2250.01,2249.62,2081.0
4538.T,2026-06,2210.07,2208.53,2082.0
3360.T,2025-12,2169.9,2118.72,2094.0
2790.T,2026-05,2098.03,2065.3,2099.0
2681.T,2026-02,1676.34,1669.11,2116.0
6245.T,2026-03,1622.63,1597.82,2117.0
8365.T,2025-12,1645.64,1614.91,2118.0
8697.T,2026-03,1682.8,1646.76,2125.5
6518.T,2026-01,931.17,913.31,2134.0
8739.T,2026-01,1481.34,1460.99,2140.0
1690.T,2026-03,1573.83,1506.69,2150.0
4524.T,2025-12,2098.69,2092.93,2151.0
6070.T,2025-12,2232.68,2221.28,2172.0
4968.T,2025-12,1077.46,1074.19,2183.0
2784.T,2025-12,2123.55,2113.48,2184.5
7927.T,2025-12,1598.72,1591.22,2193.0
7480.T,2026-05,1688.42,1684.13,2215.0
1407.T,2026-05,1882.72,1838.41,2216.0
4112.T,2026-03,1969.44,1954.5,2220.0
9830.T,2026-01,2280.09,2243.28,2226.0
6027.T,2026-01,3082.22,3069.04,2236.0
4528.T,2026-02,1933.9,1842.09,2249.0
7047.T,2026-02,2067.99,2000.7,2254.0
8160.T,2025-12,2399.04,2365.0,2266.0
4554.T,2025-12,1500.31,1458.12,2295.0
6899.T,2026-03,2206.4,2195.64,2321.0
9503.T,2026-01,2099.57,2075.56,2325.5
2211.T,2026-01,2500.81,2496.02,2327.0
5915.T,2025-12,1647.41,1643.96,2328.0
4994.T,2026-02,2580.19,2539.71,2330.0
5449.T,2026-01,2716.67,2707.9,2358.0
9270.T,2025-12,958.12,912.58,2359.0
6616.T,2026-01,1462.86,1453.8,2367.0
7510.T,2026-01,1970.03,1967.3,2372.0
5304.T,2026-01,2158.9,2139.72,2401.0
4337.T,2026-03,3008.02,2989.93,2402.0
9003.T,2025-12,2440.37,2390.0,2404.0
5079.T,2026-02,2635.1,2626.91,2440.0
4027.T,2026-04,1433.75,1431.43,2446.0
8075.T,2025-12,2115.86,2085.5,2450.0
6055.T,2026-03,1683.44,1666.59,2454.0
1694.T,2026-04,2267.89,2226.71,2459.0
5257.T,2026-05,2578.35,2574.59,2486.0
6737.T,2026-02,2130.42,2106.34,2489.0
2201.T,2026-02,2583.71,2543.86,2492.5
7808.T,2026-01,2975.33,2936.6,2500.0
7713.T,2025-12,1408.27,1407.41,2507.0
6316.T,2026-01,2143.29,2141.06,2519.0
6613.T,2026-02,389.33,380.12,2520.0
2160.T,2026-01,2846.33,2826.12,2527.0
2674.T,2025-12,1746.62,1740.29,2537.0
6862.T,2025-12,939.74,906.36,2540.0
9256.T,2026-03,803.91,801.44,2540.0
7976.T,2026-05,2272.13,2252.34,2549.0
9740.T,2026-03,2744.85,2698.5,2563.0
5537.T,2026-02,1306.92,1151.97,2568.0
8242.T,2026-03,2140.79,2120.63,2574.0
7942.T,2026-01,2008.92,1996.1,2595.0
6337.T,2025-12,1751.09,1709.46,2604.0
4613.T,2025-12,2205.05,2194.21,2623.0
