ticker,price
4061.T,2876.0
4063.T,5226.0
4078.T,3255.0
4088.T,2291.5
4092.T,2901.0
4095.T,1430.0
4097.T,1145.0
4113.T,1302.0
4118.T,4522.0
4187.T,4210.0
4208.T,2610.5
4275.T,1956.0
4324.T,3455.0
4345.T,1055.0
4368.T,6500.0
4371.T,1261.0
4384.T,1807.0
4389.T,890.0
4396.T,1501.0
4401.T,4047.0
4417.T,3395.0
4424.T,311.0
4432.T,3770.0
4433.T,1057.0
4445.T,3600.0
4446.T,1019.0
4462.T,2254.0
4494.T,785.0
4496.T,807.0
4498.T,1399.0
4499.T,2525.0
4502.T,4913.0
4503.T,2126.0
4506.T,2522.5
4523.T,4761.0
4526.T,3005.0
4528.T,2189.5
4530.T,5200.0
4531.T,332.0
4536.T,1646.5
4538.T,2351.0
4554.T,1903.0
4572.T,408.0
4584.T,215.0
4586.T,114.0
4613.T,2500.0
4617.T,4535.0
4619.T,2361.0
4624.T,3670.0
4628.T,11300.0
4634.T,3500.0
4657.T,430.0
4658.T,1326.0
4662.T,1824.0
4671.T,2706.0
4674.T,1776.0
4676.T,3970.0
4678.T,304.0
4685.T,3565.0
4691.T,1433.0
4694.T,3875.0
4733.T,8500.0
4761.T,1301.0
4763.T,1585.0
4792.T,1801.0
4826.T,548.0
4840.T,497.0
4894.T,6760.0
4902.T,691.5
4917.T,2786.0
4918.T,349.0
4920.T,1177.0
4927.T,1317.5
4932.T,1138.0
4956.T,1342.0
4967.T,5465.0
4970.T,7660.0
4975.T,5060.0
4994.T,2704.0
5021.T,4392.0
5028.T,408.0
5034.T,2606.0
5036.T,1678.0
5074.T,362.0
5101.T,6182.0
5110.T,2452.5
5142.T,1519.0
5185.T,1982.0
5201.T,5364.0
5232.T,3872.0
5233.T,3982.0
5250.T,1180.0
5255.T,178.0
5258.T,456.0
5261.T,7460.0
5288.T,1456.0
5290.T,1335.0
5304.T,2371.0
5332.T,4455.0
5333.T,3410.0
5334.T,6974.0
5344.T,44030.0
5384.T,2413.0
5393.T,7164.0
5444.T,11080.0
5449.T,2865.0
5463.T,1492.0
5464.T,1032.0
5471.T,1664.0
5482.T,3025.0
5484.T,2105.0
5571.T,1231.0
5582.T,2699.0
5592.T,2820.0
5595.T,1670.0
5599.T,1993.0
5602.T,1722.0
5631.T,8397.0
5706.T,19175.0
5711.T,3959.0
5713.T,7059.0
5714.T,8021.0
5726.T,2164.0
5727.T,1437.0
5741.T,2243.0
5802.T,6527.0
5805.T,11180.0
5830.T,2698.5
5838.T,6974.0
5843.T,2662.0
5844.T,3539.0
5885.T,2915.0
5909.T,979.0
5911.T,3070.0
5918.T,7300.0
5923.T,1178.0
5933.T,1143.0
5936.T,954.0
5938.T,1933.5
5946.T,2056.0
5947.T,4033.0
5952.T,186.0
5958.T,4500.0
5970.T,2019.0
5983.T,11690.0
6013.T,2511.0
6023.T,2654.0
6033.T,1423.0
6035.T,800.0
6038.T,934.0
6055.T,1590.0
6069.T,1028.0
6071.T,805.0
6080.T,3405.0
6093.T,185.0
6104.T,4375.0
6134.T,3737.0
6146.T,54200.0
6171.T,421.0
6176.T,715.0
6195.T,219.0
6196.T,4190.0
6223.T,1690.0
6229.T,1781.0
6231.T,12780.0
6235.T,1978.0
6246.T,2023.0
6248.T,1693.0
6258.T,2466.0
6276.T,333.0
6286.T,1390.0
6292.T,793.0
6298.T,1065.0
6302.T,4344.0
6306.T,813.0
6315.T,2371.0
6323.T,2490.0
6332.T,2888.0
6345.T,1379.0
6349.T,1607.0
6356.T,895.0
6358.T,2143.0
6366.T,951.0
6370.T,6658.0
6378.T,1250.0
6380.T,3200.0
6383.T,5038.0
6395.T,1103.0
6407.T,3290.0
6413.T,1271.0
6419.T,3225.0
6430.T,2900.0
6432.T,7050.0
6436.T,4265.0
6445.T,1199.0
6448.T,3173.0
6455.T,2812.0
6457.T,4073.0
6463.T,1333.0
6474.T,4645.0
6484.T,2558.0
6486.T,2939.0
6489.T,2080.0
6490.T,5080.0
6496.T,6050.0
6497.T,1207.0
6501.T,5445.0
6503.T,4913.0
6507.T,9900.0
6508.T,5890.0
6523.T,1139.0
6539.T,1058.0
6544.T,1781.5
6547.T,2390.0
6549.T,1605.0
6558.T,800.0
6560.T,2220.0
6565.T,1640.0
6570.T,1260.0
6574.T,122.0
6584.T,883.0
6586.T,4816.0
6590.T,20880.0
6592.T,1452.5
6597.T,1807.0
6613.T,335.0
6622.T,10540.0
6627.T,6440.0
6635.T,505.0
6638.T,1681.0
6653.T,2430.0
6663.T,270.0
6674.T,3862.0
6676.T,4995.0
6678.T,2339.0
6701.T,5686.0
6703.T,2058.0
6718.T,3005.0
6723.T,2300.0
6728.T,7481.0
6737.T,2254.0
6744.T,3920.0
6748.T,853.0
6752.T,2104.0
6758.T,4111.0
6770.T,2008.0
6803.T,94.0
6817.T,1166.0
6834.T,11970.0
6840.T,429.0
6841.T,5234.0
6856.T,16450.0
6857.T,21555.0
6858.T,647.0
6871.T,7710.0
6874.T,2644.0
6908.T,3260.0
6919.T,1441.0
6920.T,32760.0
6923.T,3136.0
6925.T,2825.5
6942.T,1210.0
6947.T,5050.0
6951.T,5150.0
6963.T,2315.5
6965.T,1705.0
6969.T,868.0
6995.T,3205.0
6997.T,1487.0
6998.T,1533.0
7011.T,4260.0
7012.T,11870.0
7013.T,3112.0
7057.T,1103.0
7058.T,3000.0
7062.T,808.0
7085.T,807.0
7130.T,2600.0
7161.T,421.0
7164.T,3165.0
7167.T,1103.5
7175.T,1265.0
7187.T,1487.0
7202.T,2491.5
7203.T,3429.0
7231.T,3205.0
7242.T,4510.0
7247.T,362.0
7254.T,814.0
7267.T,1565.5
7272.T,1181.0
7278.T,5700.0
7279.T,3235.0
7283.T,2274.0
7284.T,1230.0
7297.T,901.0
7313.T,1867.0
7363.T,1645.0
7409.T,2831.0
7435.T,983.0
7438.T,1601.0
7444.T,1947.0
7453.T,2925.5
7455.T,576.0
7456.T,5500.0
